# Placementy YT kanałów w Demand Gen (26.04–11.06) – kandydaci do wykluczenia
# Wygenerowane 11.06 na review 12–14.06. NIC nie wykluczone – decyzja po danych konwersji.
# channel_url	name	impressions	clicks	cost_pln
youtube.com/channel/UCE88oNGKXMVL69I8Vp2k9iw	Lakarnum	1379	31	5
youtube.com/channel/UCjaxmdb_gTWbz9XF5rzvgGg	Natan por Aí	1319	66	8
youtube.com/channel/UCOWr4IJhfI-3utR6vJitcOg	bociekLS	1310	64	6
youtube.com/channel/UCviVNE6NohubpoUGfZyk5mQ	kubazuzak	1237	46	5
youtube.com/channel/UC8EkcHOycB94lHDkbAPSnQA	Nacho	1235	60	7
youtube.com/channel/UCDeDnXAb4qBjdHweGPJPriA	MisterKey	1223	61	7
youtube.com/channel/UCK6uPvKHtTDgjxFpAF1RsdQ	Sagi	1207	50	6
youtube.com/channel/UCBp1uKUOq9oEcLFEsNutcbw	Jawor	1202	59	5
youtube.com/channel/UCPiu4CZlknkTworskK79CPg	wPolsce24	1198	28	4
youtube.com/channel/UCiuVdpXly8L3XGYOyK5da4g	Play Puls	1192	27	5
youtube.com/channel/UCNItRM6A2APyfiYJ0UBwFXw	Da Mian	1162	42	5
youtube.com/channel/UCKAtPxfE2RAHSCwDABMMeAg	Jasna Góra Klasztor Ojców Paulinów	1127	47	4
youtube.com/channel/UC4T-L1Fv5WXTvY-l_-LUKaw	Guwer	1112	57	5
youtube.com/channel/UCrGWaDtpP8cpQBuIPVkfdrA	SKOLIM Official	1090	29	4
youtube.com/channel/UCTiF3rxvHjEjNODhGlDKU0Q	DEYV	1081	44	5
youtube.com/channel/UCDL4L6bGUbLtIF5MS4va4iw	Weronika i Max	1076	58	5
youtube.com/channel/UC8jNp8zEIFxiQ6Iv0GVHgpw	Hejka tu Diana	1039	59	5
youtube.com/channel/UCIeNFytZOoos_R-nnVCpLLg	Mega Koliz	994	51	4
youtube.com/channel/UC_8AjHqTec4u_IA45WVKi7g	Vlad	994	46	6
youtube.com/channel/UCiP_aZPpCZMcr1-vDcVJWKw	Oliwia & Mama	981	41	5
youtube.com/channel/UCx6vdBXsbCQJH8dITlqKTlQ	Leon	961	55	4
youtube.com/channel/UCZ1f0DIe-4xAKVmpysULazA	Hejka tu Lenka	943	56	5
youtube.com/channel/UC25EPjrlQWIEmtn-HqTz1HA	ogryzek	918	36	3
youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA	MrBeast Gaming	912	40	4
